,chart_position,track,artist,streams,url
1059927,168,Fattig bonddräng - Så mycket bättre 2020,Markus Krunegård,138271,https://open.spotify.com/track/6wtOANpaQd9uU8B6g6IVDi
1059939,180,Alé Alé,A36,133820,https://open.spotify.com/track/1WpKjUN6pfhQqAlnarvKgq
1059941,182,Hype,E4an,133692,https://open.spotify.com/track/2IxmJElmc8Ia96R5Qhf69Y
1059958,199,We Don't Talk Anyway - Spotify Studio It´s Hits Recording,Rhys,126325,https://open.spotify.com/track/4qFDuxFzESmX8upiq1s6RF
1060072,113,System,Adel,218556,https://open.spotify.com/track/61gf838Ck54nYtd0fHZXWN
1060108,149,Stad i ljus,Silvana Imam,179378,https://open.spotify.com/track/5U8kUSarCgboTZdOZPUwFh
1060114,155,Gång på gång,B.Baby,174973,https://open.spotify.com/track/52YN3Vc64Zdf2EzcmDAeAG
1060120,161,Aldrig Ledig,Z.E,172337,https://open.spotify.com/track/1929lc4GB9zMnTd7sypKt8
1060125,166,Canada Goose,Yasin,168601,https://open.spotify.com/track/6eGCfZ3dIbBwv0WTJd13Mj
1060142,183,2VS2,Blizzy,156643,https://open.spotify.com/track/5zxN8BZvkaIVItcEfE826t
1060321,162,NINA,Dree Low,171823,https://open.spotify.com/track/3mDeJN7Cfm3ZzGIOBc0nti
1060338,179,Only Your Heart,Benjamin Ingrosso,162480,https://open.spotify.com/track/558yQ27utohUSZJSIcbHlM
1060434,75,Sankta Lucia,Adolf Fredriks Musikklasser,270296,https://open.spotify.com/track/5EmV5uL3T4rSUUvYBGhg5J
1060513,154,Staffan var en stalledräng,Adolf Fredriks Ungdomskör,182656,https://open.spotify.com/track/3iK9QAubUYpznnsEHxJ3yd
1060528,169,KAKTUS,24K,172297,https://open.spotify.com/track/41KBQEGetZ2eoZR7xwcfb2
1060534,175,Stanna kvar,Mwuana,169914,https://open.spotify.com/track/5sAJ3fUfdDx1YDsOFGTl4M
1060539,180,Han har ett sätt - Så mycket bättre 2020,Helen Sjöholm,167177,https://open.spotify.com/track/10M9FxbQbDScPqtqmb7vfq
1060548,189,I skydd av mörkret - Så mycket bättre 2020,Jakob Hellman,159243,https://open.spotify.com/track/6yIIVE1OWPtnOwa7kDjNCn
1060557,198,Santa Lucia (Luciasången),Barnens favoriter,151376,https://open.spotify.com/track/0JtlqAJDd9eklbaz99XKFU
1060558,199,Tomtarnas julnatt (Midnatt råder),Barnens favoriter,149510,https://open.spotify.com/track/1lVbKIjcoW9ah02CeVadGI
1060586,27,"Jul, jul strålande jul",Carola,862569,https://open.spotify.com/track/33EVpTZhoyQw1mStrZTKfO
1060593,34,O helga natt,Tommy Körberg,758238,https://open.spotify.com/track/0XoGiZY2XtBW5qXB3ZzZOX
1060595,36,Decembernatt (Halleluja),Peter Jöback,725756,https://open.spotify.com/track/3b6mt8vlFS89uRx7kgKhkb
1060596,37,Nu tändas tusen juleljus,Benny Anderssons Orkester,668056,https://open.spotify.com/track/5PB7EuGxRLK1GQJjYJGhTD
1060600,41,När snön faller ner,Arvingarna,575409,https://open.spotify.com/track/1Q8c5YtPFRd79rr4riTQst
1060602,43,"Tomten, jag vill ha en riktig jul",Judit,561256,https://open.spotify.com/track/520Jrg250xi0QXIKxFqK4n
1060603,44,"Merry Christmas, My Love",Weeping Willows,561089,https://open.spotify.com/track/2Crih49TIORGGQIBxu0aqz
1060604,45,Nu tändas tusen juleljus,Carola,553903,https://open.spotify.com/track/08D5bPhVLw01WdNchYxsqg
