Year,TradeFlowName,TradeValueK,ProductCode,first,second,third,fourth
2015,Export,1045602.73,28,2,28,28,28
2015,Import,14892.754,23,2,23,23,23
2009,Import,355.865,21,2,21,21,21
2015,Export,29284.073,23,2,23,23,23
2011,Import,158237.72,25,2,25,25,25
2018,Export,155764.137,02,0,02,02,02
2008,Export,95740.228,09,0,09,09,09
2016,Import,35755.098,02,0,02,02,02
2011,Export,69167.965,02,0,02,02,02
2011,Export,11456.109,08,0,08,08,08
2017,Export,10545.874,08,0,08,08,08
2019,Export,4355862.968,35,3,35,35,35
2014,Export,1851.5,21,2,21,21,21
2008,Export,769519.187,32,3,32,32,32
2015,Import,3827.134,91,9,91,91,91
2017,Export,1150964.525,24,2,24,24,24
2009,Import,826441.791,13,1,13,13,13
2008,Import,6418.538,09,0,09,09,09
2019,Export,1398902.497,26,2,26,26,26
2014,Export,434742.969,30,3,30,30,30
2015,Import,14721.805,24,2,24,24,24
2017,Export,155534.929,39,3,39,39,39
2012,Export,103132.554,25,2,25,25,25
2017,Import,70514.767,25,2,25,25,25
2014,Export,32048.796,27,2,27,27,27
2012,Import,2107.877,21,2,21,21,21
2019,Import,61820.851,02,0,02,02,02
2018,Import,1365.889,21,2,21,21,21
2010,Export,1425696.814,01,0,01,01,01
2016,Export,446571.057,30,3,30,30,30
2017,Import,1247992.015,20,2,20,20,20
2017,Import,816.034,21,2,21,21,21
2019,Import,19867.716,09,0,09,09,09
2012,Import,609723.186,33,3,33,33,33
2019,Import,138573.124,01,0,01,01,01
2014,Import,323475.279,29,2,29,29,29
2017,Import,3389436.993,35,3,35,35,35
2012,Export,93003.809,22,2,22,22,22
2013,Export,484729.016,34,3,34,34,34
2010,Import,1479319.087,36,3,36,36,36
2010,Export,2359510.921,35,3,35,35,35
2017,Export,2983509.324,13,1,13,13,13
2009,Import,1315553.529,38,3,38,38,38
2009,Import,5298063.553,35,3,35,35,35
2018,Import,1325757.529,38,3,38,38,38
2014,Import,155005.779,25,2,25,25,25
2012,Export,2955843.216,35,3,35,35,35
2009,Import,33647.341,02,0,02,02,02
2014,Export,1968411.937,20,2,20,20,20
2009,Import,224952.486,29,2,29,29,29
2011,Import,1694373.169,36,3,36,36,36
2019,Export,46453.636,14,1,14,14,14
2014,Export,104121.597,22,2,22,22,22
2014,Export,763140.897,36,3,36,36,36
