Year,ProductCode,TradeFlowName,TradeValueK,first,second,third,fourth
2019,2339,Import,28.455,2,23,233,2339
2012,2741,Import,2943.541,2,27,274,2741
2016,3955,Export,660.489,3,39,395,3955
2019,3171,Import,485.797,3,31,317,3171
2013,2741,Import,3525.959,2,27,274,2741
2013,3873,Import,2128.515,3,38,387,3873
2019,2099,Export,137645.613,2,20,209,2099
2009,2381,Export,20.862,2,23,238,2381
2017,2844,Export,14588.221,2,28,284,2844
2013,3321,Export,31354.911,3,33,332,3321
2010,2426,Export,15638.802,2,24,242,2426
2014,3621,Import,257612.628,3,36,362,3621
2016,3151,Export,16.538,3,31,315,3151
2015,2844,Export,10769.193,2,28,284,2844
2010,0273,Export,589.21,0,02,027,0273
2008,2321,Export,6395.408,2,23,232,2321
2013,2796,Import,164.898,2,27,279,2796
2009,0831,Import,7131.598,0,08,083,0831
2014,2066,Import,28719.677,2,20,206,2066
2017,2426,Export,21950.97,2,24,242,2426
2011,3354,Import,20973.745,3,33,335,3354
2012,2819,Import,414969.26,2,28,281,2819
2019,2999,Import,48516.481,2,29,299,2999
2010,2392,Import,3648.995,2,23,239,2392
2018,2731,Import,21123.359,2,27,273,2731
2010,2869,Export,163591.939,2,28,286,2869
2014,2024,Export,2244.289,2,20,202,2024
2017,3321,Import,26637.6,3,33,332,3321
2008,3143,Import,46.054,3,31,314,3143
2012,2771,Import,11.072,2,27,277,2771
2010,2542,Import,2321.336,2,25,254,2542
2017,3827,Import,4193.759,3,38,382,3827
2010,2851,Import,60310.984,2,28,285,2851
2015,2611,Import,147633.915,2,26,261,2611
2013,2321,Export,2391.657,2,23,232,2321
2013,2241,Export,10404.352,2,22,224,2241
2016,2311,Export,717.784,2,23,231,2311
2019,3255,Import,12979.463,3,32,325,3255
2013,2034,Export,2127.328,2,20,203,2034
2015,2656,Import,497.462,2,26,265,2656
2019,3465,Import,28204.389,3,34,346,3465
2011,2034,Export,1493.19,2,20,203,2034
2009,2434,Export,1087.426,2,24,243,2434
2010,2657,Import,865.116,2,26,265,2657
2012,3631,Import,2997.012,3,36,363,3631
2016,2891,Export,1533.472,2,28,289,2891
2010,2032,Import,266.532,2,20,203,2032
2014,2297,Export,20058.14,2,22,229,2297
2016,3671,Import,1466.431,3,36,367,3671
2013,3825,Export,7747.402,3,38,382,3825
2008,2369,Import,3261.111,2,23,236,2369
2009,2711,Import,39.505,2,27,271,2711
2019,2381,Import,314.296,2,23,238,2381
2008,3171,Import,652.133,3,31,317,3171
2013,2782,Export,23965.216,2,27,278,2782
2016,0131,Export,8779.142,0,01,013,0131
2008,2096,Export,599.869,2,20,209,2096
2019,2812,Import,576827.879,2,28,281,2812
2018,3915,Import,2385.72,3,39,391,3915
2019,2296,Import,3475.873,2,22,229,2296
2008,2621,Import,174757.812,2,26,262,2621
2013,2273,Import,15000.975,2,22,227,2273
2010,2436,Export,21294.276,2,24,243,2436
2011,2865,Import,384002.637,2,28,286,2865
2008,2087,Import,5086.28,2,20,208,2087
2016,2353,Import,631.231,2,23,235,2353
2013,3292,Export,44401.39,3,32,329,3292
2013,2874,Import,777638.23,2,28,287,2874
2012,2436,Export,21057.501,2,24,243,2436
2017,2796,Export,231.695,2,27,279,2796
2011,2045,Import,42.004,2,20,204,2045
2015,3351,Import,4708.932,3,33,335,3351
2019,2353,Export,673.622,2,23,235,2353
2011,2673,Import,7350.714,2,26,267,2673
2015,0919,Import,8476.986,0,09,091,0919
2017,0161,Import,818.234,0,01,016,0161
2014,0161,Export,693.292,0,01,016,0161
2011,2322,Export,38.904,2,23,232,2322
2012,3743,Export,15428.615,3,37,374,3743
2015,2085,Export,453009.457,2,20,208,2085
2013,2449,Import,30.666,2,24,244,2449
2016,2656,Import,592.753,2,26,265,2656
2013,3354,Import,18761.679,3,33,335,3354
2013,3431,Export,61.39,3,34,343,3431
2015,2079,Import,9795.209,2,20,207,2079
2016,2672,Import,67806.072,2,26,267,2672
2017,3356,Import,31231.594,3,33,335,3356
2014,3581,Import,295.898,3,35,358,3581
2019,2731,Export,2635.581,2,27,273,2731
2008,2284,Import,568.8,2,22,228,2284
2019,1099,Export,32205.127,1,10,109,1099
2014,2821,Import,1538934.468,2,28,282,2821
2015,3281,Export,791592.425,3,32,328,3281
2015,3965,Export,887.306,3,39,396,3965
2013,2252,Export,3908.858,2,22,225,2252
2009,3255,Import,8744.698,3,32,325,3255
2015,3721,Import,366402.274,3,37,372,3721
2008,2782,Export,37116.316,2,27,278,2782
2014,2023,Export,30893.34,2,20,202,2023
2014,2281,Export,565.435,2,22,228,2281
2010,3743,Export,7897.905,3,37,374,3743
2014,2034,Import,5093.418,2,20,203,2034
2011,2032,Import,421.945,2,20,203,2032
2018,9100,Export,26068.836,9,91,910,9100
2017,2436,Import,5.069,2,24,243,2436
2016,0811,Export,196.848,0,08,081,0811
2019,2096,Import,568.205,2,20,209,2096
2012,2329,Export,277.49,2,23,232,2329
2015,2091,Export,15.329,2,20,209,2091
2009,2097,Import,1.179,2,20,209,2097
2016,2449,Import,18.667,2,24,244,2449
2009,2111,Import,61.606,2,21,211,2111
2010,2047,Import,378.479,2,20,204,2047
2012,3142,Import,526.354,3,31,314,3142
2016,3354,Import,8317.669,3,33,335,3354
2013,2952,Import,2655.3,2,29,295,2952
2012,3955,Export,1147.251,3,39,395,3955
2010,3915,Export,27771.17,3,39,391,3915
2019,2515,Export,552.052,2,25,251,2515
2018,2874,Export,4224.224,2,28,287,2874
2009,2111,Export,473.188,2,21,211,2111
2016,2335,Import,487.459,2,23,233,2335
2017,3931,Import,5319.423,3,39,393,3931
2013,2869,Export,122195.778,2,28,286,2869
2012,3944,Import,2111.882,3,39,394,3944
2010,2353,Import,321.376,2,23,235,2353
2008,2335,Export,4089.398,2,23,233,2335
2016,0181,Import,13039.141,0,01,018,0181
2009,2399,Import,830.491,2,23,239,2399
2008,0211,Import,17115.027,0,02,021,0211
2016,2843,Export,6173.245,2,28,284,2843
2015,0115,Import,2648.486,0,01,011,0115
2008,3482,Export,21688.708,3,34,348,3482
