Year,TradeFlowName,TradeValueK,first,second,third,fourth
2009,Export,1450.759,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2009,Export,10011.659,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2009,Import,28.635,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2009,Import,1716.831,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2010,Export,888.062,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2010,Export,14816.717,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2010,Import,24.547,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2010,Import,2409.683,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2011,Export,12359.451,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2011,Import,6.197,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2011,Import,3850.587,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2012,Export,0.266,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2012,Export,11883.999,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2012,Import,2.141,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2012,Import,3434.737,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2013,Export,11216.83,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2013,Import,9.194,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2013,Import,4613.795,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2014,Export,11879.419,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2014,Import,15.172,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2014,Import,4725.058,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2015,Export,93.826,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2015,Export,14449.923,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2015,Import,19.487,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2015,Import,4337.805,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2016,Export,0.08,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2016,Export,11225.173,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2016,Import,9.706,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2016,Import,2428.496,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2017,Export,0.1,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2017,Export,8442.799,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2017,Import,5.262,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2017,Import,2906.25,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2018,Export,8840.59,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2018,Import,15.022,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2018,Import,3722.705,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2019,Export,8.324,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2019,Export,8231.674,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2019,Import,0.527,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2019,Import,2538.102,Manufactured commodities,Textile mill products,"Textile goods, nspf","Textile goods, nspf"
2008,Export,3139.755,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2008,Export,0.47,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2008,Import,154.918,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2008,Import,2.092,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2009,Export,959.963,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2009,Export,2.005,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2009,Import,307.342,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2010,Export,898.52,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2010,Export,2.023,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2010,Import,486.37,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2011,Export,918.866,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2011,Import,479.661,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2011,Import,3.718,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2012,Export,593.711,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2012,Export,6.793,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2012,Import,493.185,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2012,Import,38.493,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2013,Export,896.186,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2013,Export,3.416,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2013,Import,461.448,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2013,Import,9.961,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2014,Export,848.732,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2014,Export,1.221,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2014,Import,412.561,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2014,Import,48.356,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2015,Export,637.895,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2015,Export,12.663,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2015,Import,371.726,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2015,Import,3.77,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2016,Export,712.555,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2016,Export,5.229,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2016,Import,393.851,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2017,Export,760.702,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2017,Export,2.932,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2017,Import,1328.248,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2017,Import,5.982,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2018,Export,260.462,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2018,Import,349.936,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2018,Import,38.557,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2019,Export,371.344,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2019,Export,1.53,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2019,Import,414.745,Manufactured commodities,Apparel and related products,"Men's or boys' suits and coats, exc","Men's or boys' suits and coats, exc"
2008,Export,6315.02,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2008,Export,651.283,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2008,Import,1084.048,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2008,Import,332.341,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2009,Export,1852.461,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2009,Export,791.385,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2009,Import,898.284,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2009,Import,180.536,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2010,Export,2291.777,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2010,Export,810.334,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2010,Import,2317.349,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2010,Import,203.338,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2011,Export,2755.262,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2011,Export,567.671,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2011,Import,2132.384,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2011,Import,268.436,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2012,Export,2069.729,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2012,Export,354.119,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2012,Import,2805.419,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2012,Import,409.729,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2013,Export,3097.254,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2013,Export,673.236,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2013,Import,1535.052,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2013,Import,340.592,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2014,Export,3293.938,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2014,Export,360.768,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2014,Import,1889.586,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2014,Import,344.706,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2015,Export,1817.346,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2015,Export,284.146,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2015,Import,1491.478,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2015,Import,343.94,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2016,Export,2522.751,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2016,Export,457.832,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2016,Import,1160.74,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2016,Import,1150.251,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2017,Export,1448.154,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2017,Export,583.224,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2017,Import,3145.727,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2017,Import,2921.125,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2017,Import,10.792,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2018,Export,924.475,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2018,Export,361.192,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2018,Import,1091.93,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2018,Import,2172.048,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2018,Import,1530.63,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2019,Export,1417.108,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2019,Export,486.683,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2019,Import,1159.522,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2019,Import,1365.836,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2019,Import,48.798,Manufactured commodities,Apparel and related products,"Men's or boys' shirts, trousers, ni","Men's or boys' shirts, trousers, ni"
2008,Export,14060.205,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2008,Export,1525.574,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2008,Import,892.14,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2008,Import,89.253,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2009,Export,7266.577,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2009,Export,802.704,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2009,Import,838.516,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2009,Import,227.783,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2010,Export,6205.541,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2010,Export,1597.814,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2010,Import,1015.315,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2010,Import,436.365,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2011,Export,7403.106,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2011,Export,2952.257,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2011,Import,1169.799,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2011,Import,211.059,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2012,Export,6993.531,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2012,Export,2416.739,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2012,Import,1605.984,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2012,Import,558.476,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2013,Export,8216.709,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2013,Export,2293.095,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2013,Import,1002.469,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2013,Import,198.79,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2014,Export,8945.409,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2014,Export,1059.617,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2014,Import,1579.648,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2014,Import,338.507,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2015,Export,8706.828,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2015,Export,751.286,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2015,Import,1863.397,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2015,Import,114.31,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2016,Export,9656.442,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2016,Export,739.855,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2016,Import,1139.904,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2016,Import,107.839,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2017,Export,9634.801,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2017,Export,672.854,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2017,Import,675.869,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2017,Import,170.477,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2017,Import,0.351,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2018,Export,8861.974,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2018,Export,238.07,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2018,Import,482.548,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2018,Import,22.49,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2018,Import,131.154,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2019,Export,12874.076,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2019,Export,295.685,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2019,Import,589.666,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2019,Import,28.073,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2019,Import,759.033,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' dress","Women's, girls', and infants' dress"
2008,Export,848.501,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2008,Export,3466.334,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2008,Import,39.476,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2008,Import,31.95,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2009,Export,425.28,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2009,Export,1323.299,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2009,Import,18.799,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2009,Import,20.845,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2010,Export,525.078,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2010,Export,1414.981,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2010,Import,206.995,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2010,Import,32.487,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2011,Export,181.956,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2011,Export,821.83,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2011,Import,773.898,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2011,Import,86.246,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2012,Export,100.854,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2012,Export,800.793,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2012,Import,461.92,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2012,Import,147.403,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2013,Export,265.966,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2013,Export,1316.624,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2013,Import,478.851,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2013,Import,176.772,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2014,Export,61.838,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2014,Export,2288.342,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2014,Import,249.126,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2014,Import,43.715,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2015,Export,67.783,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2015,Export,2329.073,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2015,Import,404.331,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2015,Import,11.136,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2016,Export,135.685,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2016,Export,1402.318,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2016,Import,233.037,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2016,Import,97.161,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2017,Export,48.325,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2017,Export,1362.996,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2017,Import,46.236,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2017,Import,10.818,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2017,Import,0.792,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2018,Export,75.541,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2018,Export,898.649,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2018,Import,308.77,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2018,Import,156.321,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2018,Import,43.279,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2019,Export,114.173,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2019,Export,940.472,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2019,Import,407.364,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2019,Import,131.901,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2019,Import,10.039,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2008,Export,848.501,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2008,Export,1968.374,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2008,Import,39.476,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2008,Import,14.46,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2009,Export,425.28,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
2009,Export,196.078,Manufactured commodities,Apparel and related products,"Women's, girls', and infants' under","Women's, girls', and infants' under"
