Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValueK,Quantity,ProductDescription,QtyUnit,NetWeightKG
IU,BRA,115,Brazil,USA,United States,2011,Import,5,2748.489,315052,Corn,Kg,315052
IU,BRA,115,Brazil,USA,United States,2012,Export,6,215749.823,788220936,Corn,Kg,788220936
IU,BRA,115,Brazil,USA,United States,2012,Import,5,1409.609,198448,Corn,Kg,198448
IU,BRA,115,Brazil,USA,United States,2013,Export,6,315644.364,1116727305,Corn,Kg,1116727305
IU,BRA,115,Brazil,USA,United States,2013,Import,5,4087.312,513336,Corn,Kg,513336
IU,BRA,115,Brazil,USA,United States,2014,Export,6,5665.114,11404355,Corn,Kg,11404355
IU,BRA,115,Brazil,USA,United States,2014,Import,5,6759.08,760777,Corn,Kg,760777
IU,BRA,115,Brazil,USA,United States,2015,Export,6,50171.398,212333414,Corn,Kg,212333414
IU,BRA,115,Brazil,USA,United States,2015,Import,5,2648.486,499160,Corn,Kg,499160
IU,BRA,115,Brazil,USA,United States,2016,Export,6,39454.017,142768824,Corn,Kg,142768824
IU,BRA,115,Brazil,USA,United States,2016,Import,5,4400.56,532254,Corn,Kg,532254
IU,BRA,115,Brazil,USA,United States,2017,Export,6,29369.588,124982774,Corn,Kg,124982774
IU,BRA,115,Brazil,USA,United States,2017,Import,5,7917.699,842605,Corn,Kg,698262
IU,BRA,115,Brazil,USA,United States,2018,Export,6,32382.889,103666187,Corn,Kg,103666882
IU,BRA,115,Brazil,USA,United States,2018,Import,5,4196.168,525154,Corn,Kg,525154
IU,BRA,115,Brazil,USA,United States,2019,Export,6,71935.54,372932246.4,Corn,Kg,372932352
IU,BRA,115,Brazil,USA,United States,2019,Import,5,8767.297,917737,Corn,Kg,917737
IU,BRA,116,Brazil,USA,United States,2008,Export,6,619.305,848860,Soybeans,Kg,848860
IU,BRA,116,Brazil,USA,United States,2009,Export,6,560.478,819547,Soybeans,Kg,819547
IU,BRA,116,Brazil,USA,United States,2010,Export,6,58.692,99870,Soybeans,Kg,99870
IU,BRA,116,Brazil,USA,United States,2010,Import,5,0.036,97,Soybeans,Kg,97
IU,BRA,116,Brazil,USA,United States,2011,Import,5,1.548,1492,Soybeans,Kg,1492
IU,BRA,116,Brazil,USA,United States,2012,Export,6,0.019,33,Soybeans,Kg,33
IU,BRA,116,Brazil,USA,United States,2013,Export,6,174690.548,324522914,Soybeans,Kg,324522914
IU,BRA,116,Brazil,USA,United States,2013,Import,5,0.09,112,Soybeans,Kg,112
IU,BRA,116,Brazil,USA,United States,2014,Export,6,538145.564,1061772207,Soybeans,Kg,1061772207
IU,BRA,116,Brazil,USA,United States,2015,Export,6,624.339,805993,Soybeans,Kg,805993
IU,BRA,116,Brazil,USA,United States,2016,Export,6,0.165,201,Soybeans,Kg,201
IU,BRA,116,Brazil,USA,United States,2017,Export,6,0.054,8,Soybeans,Kg,8
