,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
93,"Kaks toisillemme hellää",Figaro,7786,https://open.spotify.com/track/2XIzjBL0Y2vVrtwjRdlccg
94,"Prisoner (feat. Dua Lipa)","Miley Cyrus",7777,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
95,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,7776,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
96,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,7707,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
97,"Another Love","Tom Odell",7694,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
98,Kopiokissa,william,7673,https://open.spotify.com/track/6B1MP94UcO09H0NulVMQ0a
99,"Can You Feel My Heart","Bring Me The Horizon",7644,https://open.spotify.com/track/0WSa1sucoNRcEeULlZVQXj
100,Violent,carolesdaughter,7620,https://open.spotify.com/track/7CFfqRW50ffULvBv7lfIIg
101,Peace,BESS,7591,https://open.spotify.com/track/4WLjgolYMtMtYkdYlvPNxh
102,"WAP (feat. Megan Thee Stallion)","Cardi B",7527,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
103,"Lokin päällä lokki",Apulanta,7422,https://open.spotify.com/track/4Sk3IcLo2nDenuBs8JBWBg
104,positions,"Ariana Grande",7273,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
105,Anyone,"Justin Bieber",7252,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
106,"Kuvittele meidät siellä",Gasellit,7246,https://open.spotify.com/track/1jICObZw4K9PFCbgm4y8aP
107,Paparazzi,"Kim Dracula",7101,https://open.spotify.com/track/3rchFjeKZ0bJxO7EEdM3S5
108,"Muijii stadis",Gettomasa,6971,https://open.spotify.com/track/2JjDXcC82gp21CV2WxP10k
109,"Floating Through Space",Sia,6901,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
110,DEUTSCHLAND,Rammstein,6887,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
111,Disko,Gasellit,6801,https://open.spotify.com/track/23AczWX6i2buxdeAVlK6Tu
112,"Yhtenä sunnuntaina",Erin,6688,https://open.spotify.com/track/58sSa4CQ4T4GwyV97T2tcR
113,"Let Her Go",Passenger,6685,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
114,"Dance Monkey","Tones And I",6684,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
115,"Surullinen Klovni",MKDMSK,6667,https://open.spotify.com/track/4ASbWGCzKRYA07lqDfouYu
116,"Cash Out","Bleak Purdy",6656,https://open.spotify.com/track/6rhZJHZa7CzhlT4A4uuvxp
117,Jääkukkia,"Lauri Tähkä",6637,https://open.spotify.com/track/4xqU0uR2FkuZPxicdOADZC
118,"Oli aikoi","Mikael Gabriel",6625,https://open.spotify.com/track/33iPN2mRcQUmrTDylFUY3r
119,"Kings & Queens","Ava Max",6556,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
120,"Lonely (with benny blanco)","Justin Bieber",6492,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
121,16v,"Cavallini & Shrty",6463,https://open.spotify.com/track/4nMnSPySmQH5D0I0FM9BwE
122,"Pojat (feat. Yeboyah)",Pihlaja,6463,https://open.spotify.com/track/2OYWaYTlWICzZxp3yxHUP4
123,"Kolme hyvää vinkkiä","Vesterinen yhtyeineen",6459,https://open.spotify.com/track/27BwN0P5Q137AIw1elKUHv
124,"Daddy Issues","The Neighbourhood",6379,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
125,"Maailman onnellisin maa","Pasi ja Anssi",6374,https://open.spotify.com/track/4dRfu7exVh3sUekkCtZJlS
126,"Take Me To Church",Hozier,6354,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
127,"Kredi (feat. NCO)",Yeboyah,6352,https://open.spotify.com/track/3LXEIzDiOWvac63jgNwDl0
128,"Train Wreck","James Arthur",6325,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
129,"Lucid Dreams","Juice WRLD",6315,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
130,"KILO (feat. Gettomasa)",Cledos,6286,https://open.spotify.com/track/0bD0xEToMRCxmO4p8Budrj
131,Bisnes,"Antti Tuisku",6266,https://open.spotify.com/track/5aPMyrabUeNz7wlmwihwJl
132,"Pienen pojan elämää",Klamydia,6266,https://open.spotify.com/track/2aeYWVOL3kCqDHp6vq2Mne
133,"Sun muijas",Skandaali,6246,https://open.spotify.com/track/0AjFI5rjD5XMAJj5wKiUih
134,"Take You Dancing","Jason Derulo",6225,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
135,Dior,"Pop Smoke",6221,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
136,"Only Wanna Be With You - Pokémon 25 Version","Post Malone",6202,https://open.spotify.com/track/3SawmGBjjq8EOYZJV11cJm
137,Animals,"Maroon 5",6192,https://open.spotify.com/track/2bL2gyO6kBdLkNSkxXNh6x
138,"Esson baariin",Poju,6163,https://open.spotify.com/track/2SNZVqgDiiuOUe2qPOW1m1
139,"Teipillä tai rakkaudella",ABREU,6085,https://open.spotify.com/track/2vdsyiA0RcYs3C9VMnmYac
140,"Why'd You Only Call Me When You're High?","Arctic Monkeys",6066,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
141,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",6057,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
142,"In the End","Linkin Park",6051,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
